sample_id,attack_type,detector_type,iteration,structural_score,behavioral_score,combined_score,detector_score,detector_decision,is_detected,attack_successful,utility_preservation,perturbation_magnitude,latency_ms
test_adaptive_lvl2_3,random_perturbation,structural_only,1,0.9522,0.022,0.9046,0.9522,REJECTED,1,0,0.974,0.0619,1.879
test_adaptive_lvl2_3,random_perturbation,structural_only,2,0.9538,0.022,0.9061,0.9538,REJECTED,1,0,0.9193,0.1213,1.881
test_adaptive_lvl2_3,random_perturbation,structural_only,3,0.9894,0.022,0.9399,0.9894,REJECTED,1,0,0.847,0.1878,1.843
test_adaptive_lvl2_3,random_perturbation,structural_only,4,0.9876,0.022,0.9382,0.9876,REJECTED,1,0,0.8086,0.2483,1.824
test_adaptive_lvl2_3,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7469,0.3073,1.848
test_adaptive_lvl2_4,random_perturbation,structural_only,0,0.9666,0.022,0.9183,0.9666,REJECTED,1,0,1.0,0.0,1.758
test_adaptive_lvl2_4,random_perturbation,structural_only,1,0.9736,0.022,0.9249,0.9736,REJECTED,1,0,0.9746,0.0621,2.026
test_adaptive_lvl2_4,random_perturbation,structural_only,2,1.0,0.022,0.95,1.0,REJECTED,1,0,0.9153,0.1242,1.928
test_adaptive_lvl2_4,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8547,0.1832,1.806
test_adaptive_lvl2_4,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8054,0.243,1.88
test_adaptive_lvl2_4,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.747,0.3105,1.777
test_adaptive_lvl2_5,random_perturbation,structural_only,0,0.9504,0.022,0.9029,0.9504,REJECTED,1,0,1.0,0.0,1.654
test_adaptive_lvl2_5,random_perturbation,structural_only,1,0.9596,0.022,0.9116,0.9596,REJECTED,1,0,0.9745,0.0614,1.847
test_adaptive_lvl2_5,random_perturbation,structural_only,2,0.9732,0.022,0.9245,0.9732,REJECTED,1,0,0.912,0.125,2.06
test_adaptive_lvl2_5,random_perturbation,structural_only,3,0.9986,0.022,0.9487,0.9986,REJECTED,1,0,0.844,0.1854,1.911
test_adaptive_lvl2_5,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7963,0.2536,1.768
test_adaptive_lvl2_5,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7564,0.3088,1.856
test_adaptive_lvl2_6,random_perturbation,structural_only,0,0.989,0.022,0.9395,0.989,REJECTED,1,0,1.0,0.0,1.699
test_adaptive_lvl2_6,random_perturbation,structural_only,1,0.9902,0.022,0.9407,0.9902,REJECTED,1,0,0.9739,0.0614,1.868
test_adaptive_lvl2_6,random_perturbation,structural_only,2,1.0,0.022,0.95,1.0,REJECTED,1,0,0.9194,0.122,1.827
test_adaptive_lvl2_6,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8487,0.1843,2.035
test_adaptive_lvl2_6,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8039,0.2407,1.842
test_adaptive_lvl2_6,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7575,0.3093,1.893
test_adaptive_lvl2_7,random_perturbation,structural_only,0,0.962,0.022,0.9139,0.962,REJECTED,1,0,1.0,0.0,1.701
test_adaptive_lvl2_7,random_perturbation,structural_only,1,0.9686,0.022,0.9202,0.9686,REJECTED,1,0,0.9759,0.0622,1.846
test_adaptive_lvl2_7,random_perturbation,structural_only,2,0.981,0.022,0.9319,0.981,REJECTED,1,0,0.9202,0.1236,1.864
test_adaptive_lvl2_7,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8635,0.1852,1.85
test_adaptive_lvl2_7,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8122,0.2368,2.011
test_adaptive_lvl2_7,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.766,0.3098,1.875
test_adaptive_lvl2_8,random_perturbation,structural_only,0,0.9598,0.022,0.9118,0.9598,REJECTED,1,0,1.0,0.0,1.645
test_adaptive_lvl2_8,random_perturbation,structural_only,1,0.9804,0.022,0.9314,0.9804,REJECTED,1,0,0.978,0.0614,1.809
test_adaptive_lvl2_8,random_perturbation,structural_only,2,0.9582,0.022,0.9103,0.9582,REJECTED,1,0,0.9213,0.1223,1.772
test_adaptive_lvl2_8,random_perturbation,structural_only,3,1.0,0.022,0.95,1.0,REJECTED,1,0,0.8573,0.1849,1.782
test_adaptive_lvl2_8,random_perturbation,structural_only,4,1.0,0.022,0.95,1.0,REJECTED,1,0,0.803,0.2487,1.848
test_adaptive_lvl2_8,random_perturbation,structural_only,5,1.0,0.022,0.95,1.0,REJECTED,1,0,0.7555,0.3093,1.907
